date	id	age	gender	newsws	days_news	subcat	title	image	author	datetime	text	sentiment	author_bio	passed	finished
[28/Apr/2020:11:43:39]	hvm8itcdlef2304oaohb6dfr5n	>55	Female	5	1	4	4	4	2	4	5	3	1	TRUE	TRUE
[28/Apr/2020:11:41:21]	5701db3fkekqvl76dm02419sro	45-54	Male	2	2	4	4	1	1	1	3	3	1	TRUE	TRUE
[28/Apr/2020:11:43:57]	4tcqllaua1pft1bt0mq0j0rp0v	25-34	Female	2	0	4	2	2	1	1	4	3	1	TRUE	TRUE
[28/Apr/2020:11:39:32]	sm841dtu5rbcmmg7tl5qu9m1nt	25-34	Male	1	7	4	5	2	3	2	5	4	2	FALSE	TRUE
[28/Apr/2020:11:41:38]	mtmm9orhc9gs4qjcje2qfpp4ft	>55	Male	1	7	1	3	1	1	1	5	2	1	TRUE	TRUE
[28/Apr/2020:11:47:33]	44is186eo82heduaihu5cfe4d5	25-34	Male	1	0	4	4	3	4	3	4	3	4	FALSE	TRUE
[28/Apr/2020:11:47:06]	3a7ldvk1ls8njf89q5df9kkbrm	25-34	Male	1	7	5	5	5	5	5	5	5	5	FALSE	TRUE
[28/Apr/2020:11:39:24]	vujj8si8i0uoflufohhh0aiumu	25-34	Male	2	2	3	4	2	4	3	4	3	4	FALSE	TRUE
[28/Apr/2020:11:37:49]	15hbihp8c28h6lhdqrqf26q30d	25-34	Male	1	2	3	4	3	4	3	4	3	4	FALSE	TRUE
[28/Apr/2020:11:51:37]	9o85fdah6bm83r30b7407gc6np	18-24	Male	1	1	3	4	4	2	2	4	4	2	FALSE	TRUE
[28/Apr/2020:11:42:43]	n46pfoaskgin5m0qpnbfkbncuh	35-44	Male	1	7	5	5	4	4	5	5	4	5	FALSE	TRUE
[28/Apr/2020:11:39:30]	057i53bgie79761ti3mfivcbb3	45-54	Female	5	0	4	4	1	2	1	4	4	1	FALSE	TRUE
[28/Apr/2020:11:41:02]	jmoj5o5ani181k9k2al96qh4rl	25-34	Male	2	4	4	5	3	1	5	4	4	1	TRUE	TRUE
[28/Apr/2020:11:42:15]	han08cei27o53p9b3398ljjm0s	25-34	Male	1	7	4	4	4	1	2	5	5	2	TRUE	TRUE
[28/Apr/2020:11:48:45]	rfj14fr2gksvh5l4t5d8o6f2jd	>55	Male	1	2	2	3	3	2	4	2	2	3	FALSE	TRUE
[28/Apr/2020:11:48:39]	ge3nm3l42sfru6rfuaul09avk1	35-44	Male	4	6	2	5	5	1	1	2	1	1	TRUE	TRUE
[28/Apr/2020:11:51:59]	c1fkfetlvmqffcdtb19v1ilehc	35-44	Male	2	2	3	5	3	1	3	5	5	1	TRUE	TRUE
[28/Apr/2020:11:48:06]	ini9v2ikamtncuo6eahnhjqa8d	25-34	Male	2	2	2	4	1	1	1	4	1	1	TRUE	TRUE
[28/Apr/2020:11:54:53]	s8gq4dmfv9moakab56a46qk6jv	35-44	Female	2	2	4	4	3	2	4	5	3	2	TRUE	TRUE
[28/Apr/2020:11:54:10]	m8m0s1ul4pir4q9qhuclv2qn7s	25-34	Male	2	3	3	2	3	4	4	3	4	3	FALSE	TRUE
[28/Apr/2020:11:54:56]	l1fhbi96mdvehbbb0nq7grekqj	45-54	Male	2	2	2	5	3	1	2	5	5	1	TRUE	TRUE
[28/Apr/2020:12:00:00]	svv4ihtubo349007p6k08j9qg6	25-34	Male	2	5	4	3	4	3	3	4	4	3	TRUE	TRUE
[28/Apr/2020:11:58:13]	60is8str5kqmghe1qce85t30ja	35-44	Female	1	7	2	5	2	1	1	4	3	1	TRUE	TRUE
[28/Apr/2020:11:59:42]	iaf4q6sq3aqrc2oukt6af94e1e	35-44	Male	1	7	4	4	3	2	2	5	4	1	TRUE	TRUE
[28/Apr/2020:12:15:02]	9rnngtb4dcbt51e9jgdlilck3b	>55	Male	1	1	4	5	4	4	5	4	4	5	FALSE	TRUE
[28/Apr/2020:12:20:06]	ufj0g1vhvu9u0u1c080um6b7hr	45-54	Female	1	7	4	3	4	5	4	5	4	2	FALSE	TRUE
[28/Apr/2020:12:07:41]	0ot2hna7l3hk4d6o6lnitlvjrh	35-44	Female	2	1	5	5	5	1	1	5	1	1	TRUE	TRUE
[28/Apr/2020:11:53:59]	esk59fna0gok0hi8v2utsoj7a4	45-54	Female	5	0	2	5	4	1	4	4	5	1	TRUE	TRUE
[28/Apr/2020:11:58:34]	jmg7udi67qlfdp1v8mq484acin	35-44	Male	1	7	4	5	5	2	3	4	3	1	TRUE	TRUE
[28/Apr/2020:12:03:51]	u1u9l6s7ip0r18pr4qsdl09d7c	45-54	Male	3	4	3	4	4	4	4	5	5	5	FALSE	TRUE
[28/Apr/2020:11:58:46]	h6sphthhbbtq0pqef5hj0kn6gs	25-34	Female	2	3	4	3	4	3	3	3	4	3	FALSE	TRUE
